sample,work_ns,cpu_utilization
1,66839,100.00
2,61615,25.00
3,56186,0.00
4,70407,66.67
5,67053,100.00
6,69149,100.00
7,55424,40.00
8,70894,0.00
9,70250,33.33
10,68130,80.00
11,64852,100.00
12,58586,75.00
13,57510,0.00
14,69215,25.00
15,69865,75.00
16,56596,50.00
17,65370,25.00
18,66620,75.00
19,64492,100.00
20,68619,100.00
21,60400,25.00
22,66688,0.00
23,66582,25.00
24,58170,100.00
25,64565,100.00
26,55458,75.00
27,60783,25.00
28,63805,0.00
29,69872,50.00
30,68239,100.00
31,69499,100.00
32,59922,33.33
33,58301,0.00
34,38267,25.00
35,70478,100.00
36,68234,100.00
37,56026,60.00
38,61396,0.00
39,69572,25.00
40,70493,75.00
41,56982,100.00
42,55883,25.00
43,66259,25.00
44,59382,80.00
45,64010,100.00
46,63587,100.00
47,62782,0.00
48,68715,0.00
49,66494,75.00
50,64721,100.00
51,66860,100.00
52,61846,25.00
53,60958,0.00
54,69639,25.00
55,69861,100.00
56,64929,100.00
57,66272,75.00
58,61721,0.00
59,70074,20.00
60,71500,75.00
61,57608,100.00
62,62235,20.00
63,69487,50.00
64,66045,100.00
65,69511,100.00
66,72212,66.67
67,61253,0.00
68,125325,0.00
69,69264,75.00
70,67306,100.00
71,68958,100.00
72,74108,50.00
73,59025,0.00
74,70183,0.00
75,70576,100.00
76,42289,100.00
77,69977,100.00
78,58641,25.00
79,60558,0.00
80,71494,0.00
81,67464,100.00
82,57725,100.00
83,51868,100.00
84,55728,0.00
85,58348,0.00
86,65959,50.00
87,62634,100.00
88,59019,66.67
89,60120,0.00
90,70851,60.00
91,73504,100.00
92,71482,100.00
93,56021,66.67
94,56413,0.00
95,58163,0.00
96,77431,75.00
97,45969,100.00
98,70554,100.00
99,57155,60.00
100,58949,0.00
101,63607,0.00
102,70153,66.67
103,70369,100.00
104,40058,100.00
105,55473,100.00
106,62658,0.00
107,64603,0.00
108,78429,20.00
109,50560,100.00
110,68346,100.00
111,59008,0.00
112,69744,25.00
113,62851,100.00
114,67678,100.00
115,71353,100.00
116,61212,50.00
