name,length,vocabulary,volume,difficulty,effort,level,bugs,time,intelligentContent,number_operators,number_operands,number_operators_unique,number_operands_unique,ccn,ccnMethodMax,kanDefect,mi,mIwoC,commentWeight,externals,parents,lcom,relativeStructuralComplexity,relativeDataComplexity,relativeSystemComplexity,totalStructuralComplexity,totalDataComplexity,totalSystemComplexity,cloc,loc,lloc,methods,nbMethodsIncludingGettersSetters,nbMethods,nbMethodsPrivate,nbMethodsPublic,nbMethodsGetter,nbMethodsSetters,afferentCoupling,efferentCoupling,instability,depthOfInheritanceTree,pageRank
"App\Kernel",87,30,426.9,5.7,2433.33,0.18,0.14,135,74.89,30,57,5,25,5,5,0.45,67.79,46.96,20.83,N/A,N/A,1,9,0.5,9.5,36,2,38,3,39,36,N/A,4,4,2,2,0,0,0,6,1,N/A,0
"OpenConext\EngineBlock\Assert\Assertion",37,15,144.55,5.82,841.05,0.17,0.05,47,24.85,5,32,4,11,5,3,0.52,93.5,52.98,40.52,N/A,N/A,3,16,0.47,16.47,48,1.4,49.4,16,43,27,N/A,3,3,0,3,0,0,37,4,0.1,N/A,0.03
"OpenConext\EngineBlock\Authentication\Dto\Consent",182,29,884.15,18.39,16260.72,0.05,0.29,903,48.07,41,141,6,23,14,7,0.64,56.33,36.21,20.12,N/A,N/A,1,121,0.37,121.37,484,1.5,485.5,6,84,78,N/A,4,4,2,2,0,0,2,2,0.5,N/A,0
"OpenConext\EngineBlock\Authentication\Dto\ConsentList",14,5,32.51,3.67,119.19,0.27,0.01,7,8.87,3,11,2,3,2,2,0.38,93.66,60.3,33.35,N/A,N/A,1,4,0.89,4.89,12,2.67,14.67,6,27,21,N/A,3,3,1,2,0,0,1,1,0.5,N/A,0
"OpenConext\EngineBlock\Authentication\Exception\Exception",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,1,0.5,N/A,0
"OpenConext\EngineBlock\Authentication\Exception\RuntimeException",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15,171,171,0,N/A,N/A,0,0,0,0,0,0,0,0,4,4,N/A,0,0,0,0,0,0,1,2,0.67,N/A,0
"OpenConext\EngineBlock\Authentication\Model\Consent",41,13,151.72,2.91,441.36,0.34,0.05,25,52.15,9,32,2,11,1,1,0.15,96.43,50.91,45.52,N/A,N/A,1,25,0.83,25.83,125,4.17,129.17,42,77,35,N/A,5,3,0,3,2,0,3,4,0.57,N/A,0
"OpenConext\EngineBlock\Authentication\Model\User",17,7,47.73,2.4,114.54,0.42,0.02,6,19.89,5,12,2,5,1,1,0.15,100.75,58.41,42.34,N/A,N/A,2,16,0.7,16.7,64,2.8,66.8,17,40,23,N/A,4,2,0,2,2,0,4,3,0.43,N/A,0
"OpenConext\EngineBlock\Authentication\Repository\ConsentRepository",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,7,0,7,0,0,4,4,0.5,N/A,0
"OpenConext\EngineBlock\Authentication\Repository\UserDirectory",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,4,0,4,0,0,3,2,0.4,N/A,0
"OpenConext\EngineBlock\Authentication\Value\CollabPersonId",33,16,132,3,396,0.33,0.04,22,44,7,26,3,13,1,1,0.15,96.03,52.48,43.54,N/A,N/A,2,25,0.8,25.8,125,4,129,27,58,31,N/A,5,4,0,4,1,0,15,5,0.25,N/A,0
"OpenConext\EngineBlock\Authentication\Value\CollabPersonUuid",21,9,66.57,3.75,249.63,0.27,0.02,14,17.75,6,15,3,6,1,1,0.15,96.4,55.88,40.52,N/A,N/A,2,16,0.88,16.88,80,4.4,84.4,16,43,27,N/A,5,4,0,4,1,0,6,4,0.4,N/A,0
"OpenConext\EngineBlock\Authentication\Value\ConsentHashQuery",5,5,11.61,0,0,2,0,0,23.22,0,5,0,5,1,1,0.15,88.23,68.11,20.12,N/A,N/A,1,0,5,5,0,5,5,1,14,13,N/A,1,1,0,1,0,0,4,0,0,N/A,0
"OpenConext\EngineBlock\Authentication\Value\ConsentStoreParameters",5,5,11.61,0,0,2,0,0,23.22,0,5,0,5,1,1,0.15,88.23,68.11,20.12,N/A,N/A,1,0,5,5,0,5,5,1,14,13,N/A,1,1,0,1,0,0,4,0,0,N/A,0
"OpenConext\EngineBlock\Authentication\Value\ConsentUpdateParameters",5,5,11.61,0,0,2,0,0,23.22,0,5,0,5,1,1,0.15,88.23,68.11,20.12,N/A,N/A,1,0,5,5,0,5,5,1,14,13,N/A,1,1,0,1,0,0,4,0,0,N/A,0
